OBJECTID,NO_KAB,NO_KEC,KECAMATAN,WILAYAH,Shape__Area,Shape__Length
1,71,01,GAMBIR,JAKARTA PUSAT,7508914.91015625,13230.0328493946
2,71,02,SAWAH BESAR,JAKARTA PUSAT,5358573.06933594,13639.3882385591
3,71,03,KEMAYORAN,JAKARTA PUSAT,7168174.04833984,13630.9251003955
4,71,04,SENEN,JAKARTA PUSAT,4350701.25292969,13875.2588739118
5,71,05,CEMPAKA PUTIH,JAKARTA PUSAT,4666390.99121094,10820.6170538087
6,71,06,MENTENG,JAKARTA PUSAT,6473874.80224609,12872.1973390795
7,71,07,TANAH ABANG,JAKARTA PUSAT,10047894.5463867,14908.7150964229
8,71,08,JOHAR BARU,JAKARTA PUSAT,2368212.890625,6486.1943931097
9,72,01,PENJARINGAN,JAKARTA UTARA,35969518.3442383,42209.7943341656
10,72,02,TANJUNG PRIOK,JAKARTA UTARA,22545489.4082031,33300.2629779926
11,72,03,KOJA,JAKARTA UTARA,11667594.7583008,17164.7727720316
12,72,04,CILINCING,JAKARTA UTARA,40728416.6801758,41655.0880778473
13,72,05,PADEMANGAN,JAKARTA UTARA,13078057.8349609,35075.9397288109
14,72,06,KELAPA GADING,JAKARTA UTARA,15910504.8823242,18159.5878160749
15,73,01,CENGKARENG,JAKARTA BARAT,25719132.5927734,29243.7565693966
16,73,02,GROGOL PETAMBURAN,JAKARTA BARAT,10832629.4770508,14189.7697008306
17,73,03,TAMAN SARI,JAKARTA BARAT,4497030.10742188,10211.5632156809
18,73,04,TAMBORA,JAKARTA BARAT,5414988.80371094,11154.6709032803
19,73,05,KEBON JERUK,JAKARTA BARAT,17655881.7578125,23153.0739773636
20,73,06,KALI DERES,JAKARTA BARAT,28976477.7426758,29103.1205951517
21,73,07,PALMERAH,JAKARTA BARAT,7367792.18408203,11653.9349018691
22,73,08,KEMBANGAN,JAKARTA BARAT,24967856.762207,32004.6407410065
23,74,01,TEBET,JAKARTA SELATAN,9349760.61669922,16426.4558038418
24,74,02,SETIA BUDI,JAKARTA SELATAN,8923368.50585938,13820.6411038757
25,74,03,MAMPANG PRAPATAN,JAKARTA SELATAN,7945922.32714844,17152.343012982
26,74,04,PASAR MINGGU,JAKARTA SELATAN,21619649.668457,32066.2038991265
27,74,05,KEBAYORAN LAMA,JAKARTA SELATAN,19059210.7436523,33595.119475666
28,74,06,CILANDAK,JAKARTA SELATAN,17748644.578125,27153.1938809189
29,74,07,KEBAYORAN BARU,JAKARTA SELATAN,12692900.3745117,18733.378806896
30,74,08,PANCORAN,JAKARTA SELATAN,8870714.00976563,20404.7679351903
31,74,09,JAGAKARSA,JAKARTA SELATAN,25132903.8569336,38467.9707349936
32,74,10,PESANGGRAHAN,JAKARTA SELATAN,13508955.8994141,29723.7472393928
33,75,01,MATRAMAN,JAKARTA TIMUR,4858828.15136719,10489.5036402096
34,75,02,PULO GADUNG,JAKARTA TIMUR,14909124.3432617,16134.7505187254
35,75,03,JATINEGARA,JAKARTA TIMUR,10348393.2348633,18848.3386455441
36,75,04,KRAMAT JATI,JAKARTA TIMUR,13074568.7963867,29620.1007167815
37,75,05,PASAR REBO,JAKARTA TIMUR,12475333.2988281,28302.5908796351
38,75,06,CAKUNG,JAKARTA TIMUR,41276762.7626953,31856.2322018169
39,75,07,DUREN SAWIT,JAKARTA TIMUR,22079434.9150391,22398.1359819769
40,75,08,MAKASAR,JAKARTA TIMUR,21525640.9682617,25567.9094958662
41,75,09,CIRACAS,JAKARTA TIMUR,16849298.0732422,28562.3110410411
42,75,10,CIPAYUNG,JAKARTA TIMUR,27727862.7402344,33940.3029832856
43,,,KEP. SERIBU SELATAN,KAB.ADM.KEP.SERIBU,1528586439.14844,175577.252657281
44,,,KEP. SERIBU UTARA,KAB.ADM.KEP.SERIBU,3126051320.69775,229963.261044245
